model,task,appeal,contrast,diff,ci_low,ci_high,p,primary,p_holm
llama3.1:8b,secret,leveraged,positive - neutral,-0.35555555555555557,-0.49999999999999994,-0.21111111111111114,0.00039996000399960006,False,
llama3.1:8b,secret,leveraged,negative - neutral,-0.16666666666666663,-0.3444444444444444,0.011111111111111115,0.09409059094090591,False,
llama3.1:8b,secret,leveraged,positive - negative,-0.1888888888888889,-0.33333333333333326,-0.05555555555555557,0.013398660133986601,False,
llama3.1:8b,secret,plain,positive - neutral,-0.07777777777777778,-0.16666666666666663,1.8503717077085942e-18,0.12248775122487751,True,0.3674632536746325
llama3.1:8b,secret,plain,negative - neutral,-0.05555555555555555,-0.17777777777777773,0.05555555555555556,0.48165183481651835,True,0.9633036696330367
llama3.1:8b,secret,plain,positive - negative,-0.022222222222222213,-0.14444444444444443,0.1,0.8612138786121388,True,0.9633036696330367
llama3.1:8b,secret,plain,neutral - none,0.05555555555555555,-0.011111111111111117,0.13333333333333333,0.277972202779722,False,
llama3.1:8b,xstest_safe,leveraged,positive - neutral,-0.47,-0.5466666666666666,-0.39333333333333337,9.999000099990002e-05,False,
llama3.1:8b,xstest_safe,leveraged,negative - neutral,-0.07,-0.13333333333333333,-0.006666666666666674,0.0405959404059594,False,
llama3.1:8b,xstest_safe,leveraged,positive - negative,-0.4,-0.48008333333333336,-0.31666666666666665,9.999000099990002e-05,False,
llama3.1:8b,xstest_safe,plain,positive - neutral,-0.09666666666666666,-0.15,-0.04666666666666666,0.0004999500049995,True,0.000999900009999
llama3.1:8b,xstest_safe,plain,negative - neutral,-0.08,-0.11666666666666668,-0.04333333333333333,0.00029997000299970003,True,0.0008999100089991002
llama3.1:8b,xstest_safe,plain,positive - negative,-0.01666666666666666,-0.06666666666666667,0.030000000000000006,0.5987401259874012,True,0.5987401259874012
llama3.1:8b,xstest_safe,plain,neutral - none,-0.02,-0.05333333333333334,0.01333333333333333,0.35396460353964604,False,
llama3.1:8b,xstest_unsafe,leveraged,positive - neutral,0.0,0.0,0.0,1.0,False,
llama3.1:8b,xstest_unsafe,leveraged,negative - neutral,0.013888888888888888,0.0,0.03125,0.2615738426157384,False,
llama3.1:8b,xstest_unsafe,leveraged,positive - negative,-0.013888888888888888,-0.03125,0.0,0.2532746725327467,False,
llama3.1:8b,xstest_unsafe,plain,positive - neutral,-0.003472222222222222,-0.010416666666666666,0.0,1.0,True,1.0
llama3.1:8b,xstest_unsafe,plain,negative - neutral,0.003472222222222222,-0.010416666666666666,0.020833333333333332,1.0,True,1.0
llama3.1:8b,xstest_unsafe,plain,positive - negative,-0.006944444444444444,-0.020833333333333332,0.0,1.0,True,1.0
llama3.1:8b,xstest_unsafe,plain,neutral - none,0.003472222222222222,0.0,0.010416666666666666,1.0,False,
llama3:8b,secret,leveraged,positive - neutral,-0.2888888888888889,-0.4222222222222222,-0.16666666666666666,0.00019998000199980003,False,
llama3:8b,secret,leveraged,negative - neutral,-0.14444444444444443,-0.2777777777777778,-0.022222222222222237,0.05319468053194681,False,
llama3:8b,secret,leveraged,positive - negative,-0.1444444444444445,-0.2555555555555556,-0.03333333333333334,0.0263973602639736,False,
llama3:8b,secret,plain,positive - neutral,-0.022222222222222233,-0.12222222222222225,0.06666666666666667,0.8414158584141586,True,1.0
llama3:8b,secret,plain,negative - neutral,-0.022222222222222216,-0.12222222222222223,0.06666666666666668,0.8376162383761624,True,1.0
llama3:8b,secret,plain,positive - negative,-7.401486830834377e-18,-0.08888888888888892,0.08888888888888888,1.0,True,1.0
llama3:8b,secret,plain,neutral - none,-0.03333333333333334,-0.16666666666666669,0.11111111111111112,0.7782221777822218,False,
llama3:8b,xstest_safe,leveraged,positive - neutral,-0.08333333333333334,-0.15,-0.016666666666666677,0.0202979702029797,False,
llama3:8b,xstest_safe,leveraged,negative - neutral,-0.07666666666666667,-0.13666666666666666,-0.01666666666666667,0.0164983501649835,False,
llama3:8b,xstest_safe,leveraged,positive - negative,-0.006666666666666657,-0.06666666666666667,0.05666666666666667,0.92000799920008,False,
llama3:8b,xstest_safe,plain,positive - neutral,-0.10666666666666666,-0.16666666666666669,-0.05,0.0010998900109989002,True,0.0032996700329967006
llama3:8b,xstest_safe,plain,negative - neutral,-0.07,-0.11333333333333334,-0.030000000000000006,0.0014998500149985001,True,0.0032996700329967006
llama3:8b,xstest_safe,plain,positive - negative,-0.03666666666666667,-0.09,0.016666666666666666,0.22107789221077892,True,0.22107789221077892
llama3:8b,xstest_safe,plain,neutral - none,0.07,0.02666666666666667,0.11666666666666665,0.0031996800319968005,False,
llama3:8b,xstest_unsafe,leveraged,positive - neutral,0.006944444444444444,0.0,0.01736111111111111,0.5085491450854914,False,
llama3:8b,xstest_unsafe,leveraged,negative - neutral,0.003472222222222222,0.0,0.010416666666666666,1.0,False,
llama3:8b,xstest_unsafe,leveraged,positive - negative,0.003472222222222222,-0.006944444444444444,0.013888888888888888,1.0,False,
llama3:8b,xstest_unsafe,plain,positive - neutral,-0.003472222222222222,-0.01736111111111111,0.006944444444444444,1.0,True,1.0
llama3:8b,xstest_unsafe,plain,negative - neutral,-0.003472222222222222,-0.01388888888888889,0.006944444444444444,1.0,True,1.0
llama3:8b,xstest_unsafe,plain,positive - negative,0.0,-0.010416666666666666,0.010416666666666666,1.0,True,1.0
llama3:8b,xstest_unsafe,plain,neutral - none,0.010416666666666666,0.0,0.024305555555555552,0.24717528247175283,False,
qwen2.5:14b,secret,leveraged,positive - neutral,-0.29999999999999993,-0.45555555555555555,-0.15555555555555553,0.0010998900109989002,False,
qwen2.5:14b,secret,leveraged,negative - neutral,-0.2111111111111111,-0.34444444444444444,-0.08888888888888889,0.0028997100289971,False,
qwen2.5:14b,secret,leveraged,positive - negative,-0.08888888888888888,-0.16666666666666666,-0.02222222222222222,0.059694030596940305,False,
qwen2.5:14b,secret,plain,positive - neutral,-0.09999999999999999,-0.20000000000000004,-0.01111111111111111,0.09729027097290271,True,0.29187081291870814
qwen2.5:14b,secret,plain,negative - neutral,-0.08888888888888888,-0.2,0.0111111111111111,0.15978402159784022,True,0.31956804319568044
qwen2.5:14b,secret,plain,positive - negative,-0.011111111111111112,-0.07777777777777778,0.06666666666666667,1.0,True,1.0
qwen2.5:14b,secret,plain,neutral - none,-0.03333333333333334,-0.12222222222222226,0.05555555555555555,0.644935506449355,False,
qwen2.5:14b,xstest_safe,leveraged,positive - neutral,-0.03666666666666667,-0.08333333333333334,0.006666666666666665,0.15458454154584542,False,
qwen2.5:14b,xstest_safe,leveraged,negative - neutral,0.0033333333333333322,-0.04,0.04666666666666667,1.0,False,
qwen2.5:14b,xstest_safe,leveraged,positive - negative,-0.04,-0.09,0.006666666666666667,0.15008499150084992,False,
qwen2.5:14b,xstest_safe,plain,positive - neutral,-0.04000000000000001,-0.08,-0.006666666666666667,0.0547945205479452,True,0.1095890410958904
qwen2.5:14b,xstest_safe,plain,negative - neutral,-0.04333333333333334,-0.08,-0.01,0.029697030296970302,True,0.08909109089091091
qwen2.5:14b,xstest_safe,plain,positive - negative,0.003333333333333331,-0.02,0.026666666666666665,1.0,True,1.0
qwen2.5:14b,xstest_safe,plain,neutral - none,-0.02333333333333333,-0.06333333333333332,0.01333333333333334,0.33256674332566744,False,
qwen2.5:14b,xstest_unsafe,leveraged,positive - neutral,0.0,0.0,0.0,1.0,False,
qwen2.5:14b,xstest_unsafe,leveraged,negative - neutral,0.010416666666666666,0.0,0.027777777777777776,0.4971502849715029,False,
qwen2.5:14b,xstest_unsafe,leveraged,positive - negative,-0.010416666666666666,-0.027777777777777776,0.0,0.5013498650134987,False,
qwen2.5:14b,xstest_unsafe,plain,positive - neutral,-0.003472222222222222,-0.010416666666666666,0.0,1.0,True,1.0
qwen2.5:14b,xstest_unsafe,plain,negative - neutral,0.0,-0.010416666666666666,0.010416666666666666,1.0,True,1.0
qwen2.5:14b,xstest_unsafe,plain,positive - negative,-0.003472222222222222,-0.010416666666666666,0.0,1.0,True,1.0
qwen2.5:14b,xstest_unsafe,plain,neutral - none,-0.020833333333333332,-0.041666666666666664,-0.003472222222222222,0.06129387061293871,False,
qwen3-vl:8b-instruct,secret,leveraged,positive - neutral,-0.14444444444444446,-0.26666666666666666,-0.03333333333333334,0.043195680431956804,False,
qwen3-vl:8b-instruct,secret,leveraged,negative - neutral,0.2,0.06666666666666665,0.33333333333333326,0.011198880111988802,False,
qwen3-vl:8b-instruct,secret,leveraged,positive - negative,-0.34444444444444444,-0.4555555555555555,-0.2222222222222222,0.00019998000199980003,False,
qwen3-vl:8b-instruct,secret,plain,positive - neutral,-0.01111111111111111,-0.08888888888888889,0.07777777777777777,1.0,True,1.0
qwen3-vl:8b-instruct,secret,plain,negative - neutral,0.28888888888888886,0.19999999999999993,0.3888888888888889,9.999000099990002e-05,True,0.00029997000299970003
qwen3-vl:8b-instruct,secret,plain,positive - negative,-0.29999999999999993,-0.388888888888889,-0.2,9.999000099990002e-05,True,0.00029997000299970003
qwen3-vl:8b-instruct,secret,plain,neutral - none,-0.03333333333333333,-0.14444444444444443,0.07777777777777777,0.7050294970502949,False,
qwen3-vl:8b-instruct,xstest_safe,leveraged,positive - neutral,-0.21666666666666667,-0.27,-0.16333333333333333,9.999000099990002e-05,False,
qwen3-vl:8b-instruct,xstest_safe,leveraged,negative - neutral,-0.07666666666666669,-0.14333333333333334,-0.01333333333333333,0.0306969303069693,False,
qwen3-vl:8b-instruct,xstest_safe,leveraged,positive - negative,-0.14,-0.2033333333333334,-0.07666666666666667,9.999000099990002e-05,False,
qwen3-vl:8b-instruct,xstest_safe,plain,positive - neutral,-0.06000000000000001,-0.11,-0.01333333333333334,0.019998000199980003,True,0.039996000399960006
qwen3-vl:8b-instruct,xstest_safe,plain,negative - neutral,-0.09333333333333334,-0.14,-0.05,0.00029997000299970003,True,0.0008999100089991002
qwen3-vl:8b-instruct,xstest_safe,plain,positive - negative,0.03333333333333333,-0.013333333333333326,0.08,0.20057994200579943,True,0.20057994200579943
qwen3-vl:8b-instruct,xstest_safe,plain,neutral - none,-0.03333333333333333,-0.07666666666666666,0.0033333333333333357,0.14758524147585242,False,
qwen3-vl:8b-instruct,xstest_unsafe,leveraged,positive - neutral,0.013888888888888888,0.0,0.03125,0.24137586241375864,False,
qwen3-vl:8b-instruct,xstest_unsafe,leveraged,negative - neutral,0.010416666666666666,0.0,0.024305555555555552,0.24917508249175083,False,
qwen3-vl:8b-instruct,xstest_unsafe,leveraged,positive - negative,0.003472222222222222,-0.006944444444444444,0.01736111111111111,1.0,False,
qwen3-vl:8b-instruct,xstest_unsafe,plain,positive - neutral,-0.003472222222222222,-0.010416666666666666,0.0,1.0,True,1.0
qwen3-vl:8b-instruct,xstest_unsafe,plain,negative - neutral,0.0,-0.010416666666666666,0.010416666666666666,1.0,True,1.0
qwen3-vl:8b-instruct,xstest_unsafe,plain,positive - negative,-0.003472222222222222,-0.010416666666666666,0.0,1.0,True,1.0
qwen3-vl:8b-instruct,xstest_unsafe,plain,neutral - none,-0.01736111111111111,-0.03819444444444444,-0.003472222222222222,0.1267873212678732,False,
