model,task,appeal,contrast,diff,ci_low,ci_high,p,primary,p_holm
llama3.1:8b,secret,leveraged,positive - neutral,-0.35555555555555557,-0.5,-0.21111111111111114,9.999000099990002e-05,False,
llama3.1:8b,secret,leveraged,negative - neutral,-0.16666666666666663,-0.3444444444444444,1.850371707708594e-17,0.09619038096190381,False,
llama3.1:8b,secret,leveraged,positive - negative,-0.1888888888888889,-0.32222222222222224,-0.06666666666666667,0.014798520147985201,False,
llama3.1:8b,secret,plain,positive - neutral,-0.07777777777777778,-0.15555555555555559,0.0,0.12188781121887811,True,0.36566343365663434
llama3.1:8b,secret,plain,negative - neutral,-0.05555555555555555,-0.17777777777777776,0.05555555555555555,0.4657534246575342,True,0.9315068493150684
llama3.1:8b,secret,plain,positive - negative,-0.022222222222222213,-0.14444444444444443,0.11111111111111109,0.8620137986201379,True,0.9315068493150684
llama3.1:8b,secret,plain,neutral - none,0.05555555555555555,-0.011111111111111117,0.13333333333333333,0.2846715328467153,False,
llama3.1:8b,xstest_safe,leveraged,positive - neutral,-0.2866666666666667,-0.36333333333333334,-0.21333333333333335,9.999000099990002e-05,False,
llama3.1:8b,xstest_safe,leveraged,negative - neutral,-0.03666666666666667,-0.08,1.6653345369377347e-18,0.10938906109389061,False,
llama3.1:8b,xstest_safe,leveraged,positive - negative,-0.25000000000000006,-0.3233333333333334,-0.17991666666666783,9.999000099990002e-05,False,
llama3.1:8b,xstest_safe,plain,positive - neutral,-0.05,-0.09000000000000002,-0.013333333333333332,0.019598040195980403,True,0.05879412058794121
llama3.1:8b,xstest_safe,plain,negative - neutral,-0.0033333333333333335,-0.02666666666666667,0.023333333333333334,1.0,True,1.0
llama3.1:8b,xstest_safe,plain,positive - negative,-0.04666666666666667,-0.09,-0.006666666666666667,0.034596540345965404,True,0.06919308069193081
llama3.1:8b,xstest_safe,plain,neutral - none,0.016666666666666663,-0.013333333333333338,0.04999999999999999,0.4206579342065793,False,
llama3.1:8b,xstest_unsafe,leveraged,positive - neutral,-0.0798611111111111,-0.13194444444444445,-0.03472222222222222,0.0023997600239976003,False,
llama3.1:8b,xstest_unsafe,leveraged,negative - neutral,-0.020833333333333332,-0.0763888888888889,0.03125,0.5365463453654634,False,
llama3.1:8b,xstest_unsafe,leveraged,positive - negative,-0.05902777777777777,-0.10763888888888888,-0.020833333333333332,0.015198480151984802,False,
llama3.1:8b,xstest_unsafe,plain,positive - neutral,-0.03472222222222222,-0.07638888888888888,-1.1564823173178713e-18,0.10518948105189481,True,0.31556844315568444
llama3.1:8b,xstest_unsafe,plain,negative - neutral,-0.01041666666666667,-0.05555555555555556,0.03472222222222222,0.7709229077092291,True,0.7709229077092291
llama3.1:8b,xstest_unsafe,plain,positive - negative,-0.024305555555555552,-0.05555555555555556,1.1564823173178713e-18,0.1882811718828117,True,0.3765623437656234
llama3.1:8b,xstest_unsafe,plain,neutral - none,0.010416666666666666,-0.027777777777777773,0.048611111111111105,0.7204279572042795,False,
llama3:8b,secret,leveraged,positive - neutral,-0.2888888888888889,-0.4222222222222223,-0.16666666666666666,0.00019998000199980003,False,
llama3:8b,secret,leveraged,negative - neutral,-0.14444444444444443,-0.27777777777777773,-0.02222222222222223,0.050094990500949906,False,
llama3:8b,secret,leveraged,positive - negative,-0.1444444444444445,-0.2555555555555556,-0.03333333333333334,0.027797220277972202,False,
llama3:8b,secret,plain,positive - neutral,-0.022222222222222233,-0.12222222222222225,0.07777777777777777,0.8453154684531546,True,1.0
llama3:8b,secret,plain,negative - neutral,-0.022222222222222216,-0.12222222222222222,0.06666666666666668,0.8392160783921608,True,1.0
llama3:8b,secret,plain,positive - negative,-7.401486830834377e-18,-0.08888888888888892,0.08888888888888888,1.0,True,1.0
llama3:8b,secret,plain,neutral - none,-0.03333333333333334,-0.16666666666666669,0.11111111111111112,0.7676232376762324,False,
llama3:8b,xstest_safe,leveraged,positive - neutral,-0.026666666666666665,-0.07666666666666667,0.02333333333333333,0.37336266373362664,False,
llama3:8b,xstest_safe,leveraged,negative - neutral,-0.13333333333333333,-0.19333333333333336,-0.07666666666666667,9.999000099990002e-05,False,
