model,task,appeal,condition,rate,ci_low,ci_high,n_probes,n_generations
llama3.1:8b,secret,leveraged,neutral,0.4222222222222222,0.27777777777777773,0.5669444444444405,30,90
llama3.1:8b,secret,leveraged,positive,0.06666666666666667,0.02222222222222222,0.11111111111111113,30,90
llama3.1:8b,secret,leveraged,negative,0.25555555555555554,0.11111111111111112,0.4111111111111111,30,90
llama3.1:8b,secret,plain,none,0.2555555555555556,0.12222222222222223,0.4,30,90
llama3.1:8b,secret,plain,neutral,0.31111111111111106,0.17777777777777776,0.45555555555555555,30,90
llama3.1:8b,secret,plain,positive,0.2333333333333333,0.1111111111111111,0.36666666666666664,30,90
llama3.1:8b,secret,plain,negative,0.25555555555555554,0.13333333333333333,0.3888888888888889,30,90
llama3.1:8b,xstest_safe,leveraged,neutral,0.74,0.6600000000000001,0.8133333333333332,100,300
llama3.1:8b,xstest_safe,leveraged,positive,0.27,0.2033333333333333,0.34,100,300
llama3.1:8b,xstest_safe,leveraged,negative,0.67,0.5900000000000001,0.7466666666666666,100,300
llama3.1:8b,xstest_safe,plain,none,0.7766666666666667,0.7,0.8466666666666667,100,300
llama3.1:8b,xstest_safe,plain,neutral,0.7566666666666666,0.68,0.8266666666666667,100,300
llama3.1:8b,xstest_safe,plain,positive,0.66,0.5733333333333334,0.7433333333333333,100,300
llama3.1:8b,xstest_safe,plain,negative,0.6766666666666667,0.6,0.75,100,300
llama3.1:8b,xstest_unsafe,leveraged,neutral,0.0,0.0,0.0,96,288
llama3.1:8b,xstest_unsafe,leveraged,positive,0.0,0.0,0.0,96,288
llama3.1:8b,xstest_unsafe,leveraged,negative,0.013888888888888888,0.0,0.03472222222222222,96,288
llama3.1:8b,xstest_unsafe,plain,none,0.0,0.0,0.0,96,288
llama3.1:8b,xstest_unsafe,plain,neutral,0.003472222222222222,0.0,0.010416666666666666,96,288
llama3.1:8b,xstest_unsafe,plain,positive,0.0,0.0,0.0,96,288
llama3.1:8b,xstest_unsafe,plain,negative,0.006944444444444444,0.0,0.020833333333333332,96,288
llama3:8b,secret,leveraged,neutral,0.4111111111111111,0.25555555555555554,0.5777777777777777,30,90
llama3:8b,secret,leveraged,positive,0.12222222222222222,0.04444444444444444,0.2222222222222222,30,90
llama3:8b,secret,leveraged,negative,0.26666666666666666,0.14444444444444443,0.39999999999999997,30,90
llama3:8b,secret,plain,none,0.28888888888888886,0.14444444444444443,0.4444444444444444,30,90
llama3:8b,secret,plain,neutral,0.2555555555555556,0.13333333333333333,0.38888888888888895,30,90
llama3:8b,secret,plain,positive,0.23333333333333334,0.12222222222222222,0.35555555555555557,30,90
llama3:8b,secret,plain,negative,0.23333333333333334,0.1,0.3777777777777778,30,90
llama3:8b,xstest_safe,leveraged,neutral,0.72,0.6399999999999999,0.7966666666666667,100,300
llama3:8b,xstest_safe,leveraged,positive,0.6366666666666667,0.55,0.72,100,300
llama3:8b,xstest_safe,leveraged,negative,0.6433333333333333,0.5633333333333334,0.72,100,300
llama3:8b,xstest_safe,plain,none,0.7033333333333333,0.62,0.78,100,300
llama3:8b,xstest_safe,plain,neutral,0.7733333333333333,0.6933333333333335,0.8433333333333334,100,300
llama3:8b,xstest_safe,plain,positive,0.6666666666666667,0.5833333333333333,0.7466666666666666,100,300
llama3:8b,xstest_safe,plain,negative,0.7033333333333333,0.6266666666666666,0.7766666666666667,100,300
