model,task,appeal,dose,contrast,diff,ci_low,ci_high,p,primary,p_holm
dolphin3_8b_128k,harmful,plain,f012,positive - neutral,0.0,-0.06,0.06,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,f012,negative - neutral,0.02,-0.06,0.1,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,f012,positive - negative,-0.02,-0.12,0.06,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,f012,neutral - none,0.02,-0.04,0.08,1.0,False,
dolphin3_8b_128k,harmful,plain,f025,positive - neutral,-0.06,-0.14,0.0,0.2430756924307569,True,0.7292270772922708
dolphin3_8b_128k,harmful,plain,f025,negative - neutral,-0.02,-0.06,0.0,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,f025,positive - negative,-0.04,-0.12,0.04,0.6274372562743725,True,1.0
dolphin3_8b_128k,harmful,plain,f025,neutral - none,0.06,0.0,0.14,0.24717528247175283,False,
dolphin3_8b_128k,harmful,plain,f050,positive - neutral,-0.02,-0.08,0.04,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,f050,negative - neutral,-0.02,-0.1,0.04,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,f050,positive - negative,0.0,-0.08,0.08,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,f050,neutral - none,0.06,0.0,0.14,0.24947505249475052,False,
dolphin3_8b_128k,harmful,plain,f100,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,f100,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,f100,positive - negative,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,f100,neutral - none,-0.04,-0.1,0.0,0.4961503849615039,False,
dolphin3_8b_128k,harmful,plain,script,positive - neutral,-0.08,-0.16,-0.02,0.11878812118788121,True,0.35636436356364365
dolphin3_8b_128k,harmful,plain,script,negative - neutral,-0.06,-0.14,0.0,0.24857514248575144,True,0.4971502849715029
dolphin3_8b_128k,harmful,plain,script,positive - negative,-0.02,-0.08,0.04,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,script,neutral - none,0.1,0.02,0.18,0.062993700629937,False,
dolphin3_8b_128k,recall,plain,f012,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f012,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f012,positive - negative,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f012,neutral - none,0.0,0.0,0.0,1.0,False,
dolphin3_8b_128k,recall,plain,f025,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f025,negative - neutral,-0.2,-0.6,0.0,1.0,True,1.0
