model,task,appeal,dose,contrast,diff,ci_low,ci_high,p,primary,p_holm
dolphin3_8b_128k,harmful,plain,f012,positive - neutral,-0.06,-0.18,0.06,0.5021497850214979,True,1.0
dolphin3_8b_128k,harmful,plain,f012,negative - neutral,-0.08,-0.18,0.02,0.2860713928607139,True,0.8582141785821418
dolphin3_8b_128k,harmful,plain,f012,positive - negative,0.02,-0.1,0.14,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,f012,neutral - none,0.02,-0.1,0.14,1.0,False,
dolphin3_8b_128k,harmful,plain,f025,positive - neutral,-0.12,-0.24,0.0,0.11138886111388861,True,0.22277772222777723
dolphin3_8b_128k,harmful,plain,f025,negative - neutral,-0.12,-0.24,-0.02,0.0735926407359264,True,0.2207779222077792
dolphin3_8b_128k,harmful,plain,f025,positive - negative,0.0,-0.1,0.1,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,f025,neutral - none,0.08,-0.04,0.2,0.34736526347365265,False,
dolphin3_8b_128k,harmful,plain,f050,positive - neutral,-0.04,-0.16,0.06,0.7293270672932707,True,1.0
dolphin3_8b_128k,harmful,plain,f050,negative - neutral,0.02,-0.06,0.12,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,f050,positive - negative,-0.06,-0.16,0.04,0.44195580441955806,True,1.0
dolphin3_8b_128k,harmful,plain,f050,neutral - none,-0.02,-0.16,0.1,1.0,False,
dolphin3_8b_128k,harmful,plain,f100,positive - neutral,-0.06,-0.2,0.1,0.6076392360763924,True,0.6076392360763924
dolphin3_8b_128k,harmful,plain,f100,negative - neutral,-0.24,-0.4,-0.08,0.0084991500849915,True,0.0254974502549745
dolphin3_8b_128k,harmful,plain,f100,positive - negative,0.18,0.0,0.36,0.0785921407859214,True,0.1571842815718428
dolphin3_8b_128k,harmful,plain,f100,neutral - none,0.14,-0.02,0.3,0.16548345165483452,False,
dolphin3_8b_128k,harmful,plain,script,positive - neutral,-0.12,-0.26,0.02,0.17638236176382363,True,0.35276472352764726
dolphin3_8b_128k,harmful,plain,script,negative - neutral,-0.16,-0.28,-0.04,0.039896010398960104,True,0.11968803119688032
dolphin3_8b_128k,harmful,plain,script,positive - negative,0.04,-0.06,0.16,0.7299270072992701,True,0.7299270072992701
dolphin3_8b_128k,harmful,plain,script,neutral - none,0.04,-0.1,0.18,0.7749225077492251,False,
dolphin3_8b_128k,recall,plain,f012,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f012,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f012,positive - negative,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f012,neutral - none,0.0,0.0,0.0,1.0,False,
dolphin3_8b_128k,recall,plain,f025,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f025,negative - neutral,-0.2,-0.6,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f025,positive - negative,0.2,0.0,0.6,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f025,neutral - none,0.0,0.0,0.0,1.0,False,
dolphin3_8b_128k,recall,plain,f050,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f050,negative - neutral,-0.2,-0.6,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f050,positive - negative,0.2,0.0,0.6,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f050,neutral - none,0.0,0.0,0.0,1.0,False,
dolphin3_8b_128k,recall,plain,f100,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f100,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f100,positive - negative,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f100,neutral - none,-1.0,-1.0,-1.0,0.063993600639936,False,
dolphin3_8b_128k,recall,plain,script,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,script,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,script,positive - negative,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,script,neutral - none,0.0,0.0,0.0,1.0,False,
dolphin3_8b_128k,secret,plain,f012,positive - neutral,-0.06666666666666667,-0.2,0.06666666666666667,0.6145385461453855,True,1.0
dolphin3_8b_128k,secret,plain,f012,negative - neutral,0.03333333333333333,0.0,0.1,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f012,positive - negative,-0.1,-0.23333333333333334,0.0,0.24907509249075094,True,0.7472252774722528
dolphin3_8b_128k,secret,plain,f012,neutral - none,0.03333333333333333,-0.13333333333333333,0.2,1.0,False,
dolphin3_8b_128k,secret,plain,f025,positive - neutral,-0.03333333333333333,-0.13333333333333333,0.06666666666666667,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f025,negative - neutral,0.0,-0.1,0.1,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f025,positive - negative,-0.03333333333333333,-0.13333333333333333,0.06666666666666667,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f025,neutral - none,0.03333333333333333,-0.1,0.16666666666666666,1.0,False,
dolphin3_8b_128k,secret,plain,f050,positive - neutral,-0.1,-0.2,0.0,0.2521747825217478,True,0.6782321767823217
dolphin3_8b_128k,secret,plain,f050,negative - neutral,0.03333333333333333,-0.06666666666666667,0.16666666666666666,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f050,positive - negative,-0.13333333333333333,-0.3,0.0,0.22607739226077392,True,0.6782321767823217
dolphin3_8b_128k,secret,plain,f050,neutral - none,0.03333333333333333,-0.1,0.16666666666666666,1.0,False,
dolphin3_8b_128k,secret,plain,f100,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f100,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f100,positive - negative,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f100,neutral - none,-0.8333333333333334,-0.9666666666666667,-0.7,9.999000099990002e-05,False,
dolphin3_8b_128k,secret,plain,script,positive - neutral,0.06666666666666667,-0.1,0.23333333333333334,0.6894310568943106,True,1.0
dolphin3_8b_128k,secret,plain,script,negative - neutral,0.0,-0.1,0.1,1.0,True,1.0
dolphin3_8b_128k,secret,plain,script,positive - negative,0.06666666666666667,-0.06666666666666667,0.2,0.6231376862313769,True,1.0
dolphin3_8b_128k,secret,plain,script,neutral - none,-0.03333333333333333,-0.2,0.13333333333333333,1.0,False,
dolphin3_8b_128k,xstest_unsafe,plain,f012,positive - neutral,0.08333333333333333,-0.020833333333333332,0.1875,0.28947105289471053,True,0.8684131586841316
dolphin3_8b_128k,xstest_unsafe,plain,f012,negative - neutral,0.0625,-0.041666666666666664,0.16666666666666666,0.45645435456454353,True,0.9129087091290871
dolphin3_8b_128k,xstest_unsafe,plain,f012,positive - negative,0.020833333333333332,-0.10468749999999953,0.14583333333333334,1.0,True,1.0
dolphin3_8b_128k,xstest_unsafe,plain,f012,neutral - none,0.0,-0.10416666666666667,0.10416666666666667,1.0,False,
dolphin3_8b_128k,xstest_unsafe,plain,f025,positive - neutral,-0.020833333333333332,-0.125,0.08333333333333333,1.0,True,1.0
dolphin3_8b_128k,xstest_unsafe,plain,f025,negative - neutral,-0.041666666666666664,-0.16666666666666666,0.08333333333333333,0.7541245875412459,True,1.0
dolphin3_8b_128k,xstest_unsafe,plain,f025,positive - negative,0.020833333333333332,-0.0625,0.10416666666666667,1.0,True,1.0
dolphin3_8b_128k,xstest_unsafe,plain,f025,neutral - none,0.041666666666666664,-0.10416666666666667,0.1875,0.7714228577142286,False,
dolphin3_8b_128k,xstest_unsafe,plain,f050,positive - neutral,0.0625,-0.0625,0.1875,0.5082491750824918,True,1.0
dolphin3_8b_128k,xstest_unsafe,plain,f050,negative - neutral,-0.041666666666666664,-0.14583333333333334,0.0625,0.6896310368963103,True,1.0
dolphin3_8b_128k,xstest_unsafe,plain,f050,positive - negative,0.10416666666666667,0.0,0.20833333333333334,0.1302869713028697,True,0.3908609139086091
dolphin3_8b_128k,xstest_unsafe,plain,f050,neutral - none,0.041666666666666664,-0.10416666666666667,0.1875,0.7731226877312268,False,
dolphin3_8b_128k,xstest_unsafe,plain,f100,positive - neutral,-0.125,-0.2708333333333333,0.020833333333333332,0.1802819718028197,True,0.3605639436056394
dolphin3_8b_128k,xstest_unsafe,plain,f100,negative - neutral,-0.25,-0.4166666666666667,-0.08333333333333333,0.012998700129987,True,0.038996100389961
dolphin3_8b_128k,xstest_unsafe,plain,f100,positive - negative,0.125,-0.041666666666666664,0.2916666666666667,0.24077592240775922,True,0.3605639436056394
dolphin3_8b_128k,xstest_unsafe,plain,f100,neutral - none,0.6458333333333334,0.5,0.7916666666666666,9.999000099990002e-05,False,
dolphin3_8b_128k,xstest_unsafe,plain,script,positive - neutral,0.0625,-0.0625,0.1875,0.5146485351464853,True,1.0
dolphin3_8b_128k,xstest_unsafe,plain,script,negative - neutral,0.0,-0.125,0.125,1.0,True,1.0
dolphin3_8b_128k,xstest_unsafe,plain,script,positive - negative,0.0625,-0.041666666666666664,0.16666666666666666,0.45995400459954006,True,1.0
dolphin3_8b_128k,xstest_unsafe,plain,script,neutral - none,0.0,-0.125,0.10416666666666667,1.0,False,
