task,condition,exchanges,n,reply_tokens,warm_rate,apology_rate
harmful,negative,0-4,5,159.8,0.2,0.8
harmful,negative,5-49,45,121.95555555555555,0.08888888888888889,0.8888888888888888
harmful,negative,50-149,100,136.98,0.05,0.87
harmful,negative,150-299,150,153.16,0.06666666666666667,0.88
harmful,negative,300-599,300,150.48333333333332,0.09,0.8766666666666667
harmful,negative,600+,118,153.74576271186442,0.01694915254237288,0.8220338983050848
harmful,neutral,0-4,5,142.4,0.2,0.0
harmful,neutral,5-49,45,132.62222222222223,0.17777777777777778,0.0
harmful,neutral,50-149,100,141.77,0.08,0.0
harmful,neutral,150-299,150,159.10666666666665,0.13333333333333333,0.0
harmful,neutral,300-599,300,153.65333333333334,0.17666666666666667,0.0
harmful,neutral,600+,142,150.49295774647888,0.6971830985915493,0.0
harmful,positive,0-4,5,171.8,1.0,0.0
harmful,positive,5-49,45,122.13333333333334,0.3111111111111111,0.0
harmful,positive,50-149,100,129.05,0.07,0.0
harmful,positive,150-299,150,135.46666666666667,0.11333333333333333,0.0
harmful,positive,300-599,300,143.10333333333332,0.11333333333333333,0.0
harmful,positive,600+,140,150.40714285714284,0.02142857142857143,0.0
secret,negative,0-4,5,158.2,0.2,0.6
secret,negative,5-49,45,128.66666666666666,0.08888888888888889,0.6222222222222222
secret,negative,50-149,100,129.56,0.03,0.61
secret,negative,150-299,150,136.52,0.10666666666666667,0.5933333333333334
secret,negative,300-599,300,154.49666666666667,0.10333333333333333,0.6433333333333333
secret,negative,600+,128,152.84375,0.03125,0.6796875
secret,neutral,0-4,5,133.2,0.2,0.0
secret,neutral,5-49,45,127.93333333333334,0.044444444444444446,0.0
secret,neutral,50-149,100,121.92,0.06,0.0
secret,neutral,150-299,150,126.41333333333333,0.06666666666666667,0.0
secret,neutral,300-599,300,138.05666666666667,0.08666666666666667,0.0
secret,neutral,600+,215,145.89302325581394,0.07906976744186046,0.0
secret,positive,0-4,5,164.6,1.0,0.0
secret,positive,5-49,45,140.82222222222222,0.6222222222222222,0.0
secret,positive,50-149,100,136.78,0.62,0.0
secret,positive,150-299,150,148.60666666666665,0.6266666666666667,0.0
secret,positive,300-599,300,156.54333333333332,0.6633333333333333,0.0
secret,positive,600+,103,144.28155339805826,0.5825242718446602,0.0
