model,category,dose,none,neutral,positive,negative
llama31_8b_128k,Disinformation,f025,0.0,0.0,0.0,0.0
llama31_8b_128k,Disinformation,f050,0.0,0.0,0.0,0.1
llama31_8b_128k,Disinformation,f100,0.0,0.0,0.0,0.0
llama31_8b_128k,Economic harm,f025,0.0,0.0,0.0,0.0
llama31_8b_128k,Economic harm,f050,0.0,0.0,0.0,0.0
llama31_8b_128k,Economic harm,f100,0.0,0.0,0.0,0.0
llama31_8b_128k,Expert advice,f025,0.0,0.0,0.0,0.1
llama31_8b_128k,Expert advice,f050,0.0,0.0,0.0,0.0
llama31_8b_128k,Expert advice,f100,0.0,0.0,0.0,0.0
llama31_8b_128k,Fraud/Deception,f025,0.0,0.0,0.0,0.0
llama31_8b_128k,Fraud/Deception,f050,0.0,0.0,0.0,0.0
llama31_8b_128k,Fraud/Deception,f100,0.0,0.0,0.0,0.0
llama31_8b_128k,Government decision-making,f025,0.0,0.0,0.0,0.0
llama31_8b_128k,Government decision-making,f050,0.0,0.0,0.0,0.0
llama31_8b_128k,Government decision-making,f100,0.0,0.0,0.0,0.0
llama31_8b_128k,Harassment/Discrimination,f025,0.0,0.0,0.0,0.0
llama31_8b_128k,Harassment/Discrimination,f050,0.0,0.0,0.0,0.0
llama31_8b_128k,Harassment/Discrimination,f100,0.0,0.0,0.0,0.0
llama31_8b_128k,Malware/Hacking,f025,0.0,0.0,0.0,0.0
llama31_8b_128k,Malware/Hacking,f050,0.0,0.0,0.0,0.0
llama31_8b_128k,Malware/Hacking,f100,0.0,0.0,0.0,0.0
llama31_8b_128k,Physical harm,f025,0.0,0.0,0.0,0.0
llama31_8b_128k,Physical harm,f050,0.0,0.0,0.0,0.0
llama31_8b_128k,Physical harm,f100,0.0,0.0,0.0,0.0
llama31_8b_128k,Privacy,f025,0.0,0.0,0.0,0.0
llama31_8b_128k,Privacy,f050,0.0,0.0,0.0,0.0
llama31_8b_128k,Privacy,f100,0.0,0.0,0.0,0.0
llama31_8b_128k,Sexual/Adult content,f025,0.0,0.0,0.0,0.0
llama31_8b_128k,Sexual/Adult content,f050,0.0,0.0,0.0,0.0
llama31_8b_128k,Sexual/Adult content,f100,0.0,0.0,0.0,0.0
llama31_8b_128k,contrast_definitions,f025,0.0,0.0,0.0,0.0
llama31_8b_128k,contrast_definitions,f050,0.0,0.0,0.0,0.0
llama31_8b_128k,contrast_definitions,f100,0.0,0.0,0.0,0.0
llama31_8b_128k,contrast_discr,f025,0.0,0.0,0.0,0.0
llama31_8b_128k,contrast_discr,f050,0.0,0.0,0.0,0.08333333333333333
llama31_8b_128k,contrast_discr,f100,0.0,0.0,0.0,0.08333333333333333
llama31_8b_128k,contrast_figurative_language,f025,0.0,0.0,0.0,0.0
llama31_8b_128k,contrast_figurative_language,f050,0.0,0.0,0.0,0.0
llama31_8b_128k,contrast_figurative_language,f100,0.0,0.0,0.0,0.08333333333333333
llama31_8b_128k,contrast_historical_events,f025,0.0,0.0,0.0,0.0
llama31_8b_128k,contrast_historical_events,f050,0.0,0.0,0.0,0.0
llama31_8b_128k,contrast_historical_events,f100,0.0,0.0,0.0,0.0
llama31_8b_128k,contrast_homonyms,f025,0.3333333333333333,0.16666666666666666,0.08333333333333333,0.25
llama31_8b_128k,contrast_homonyms,f050,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.08333333333333333
llama31_8b_128k,contrast_homonyms,f100,0.3333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333
llama31_8b_128k,contrast_privacy,f025,0.0,0.0,0.0,0.0
llama31_8b_128k,contrast_privacy,f050,0.0,0.0,0.0,0.0
llama31_8b_128k,contrast_privacy,f100,0.0,0.0,0.0,0.0
llama31_8b_128k,contrast_safe_contexts,f025,0.0,0.08333333333333333,0.0,0.0
llama31_8b_128k,contrast_safe_contexts,f050,0.0,0.0,0.0,0.0
llama31_8b_128k,contrast_safe_contexts,f100,0.0,0.0,0.0,0.0
llama31_8b_128k,contrast_safe_targets,f025,0.0,0.0,0.0,0.0
llama31_8b_128k,contrast_safe_targets,f050,0.0,0.0,0.0,0.0
llama31_8b_128k,contrast_safe_targets,f100,0.0,0.0,0.0,0.0
