model,task,appeal,dose,render,contrast,diff,ci_low,ci_high,p,primary,p_holm
llama31_8b_128k,harmful,plain,f025,pasted,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,harmful,plain,f025,pasted,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,harmful,plain,f025,pasted,positive - negative,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,harmful,plain,f025,pasted,neutral - none,0.0,0.0,0.0,1.0,False,
llama31_8b_128k,harmful,plain,f025,turns,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,harmful,plain,f025,turns,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,harmful,plain,f025,turns,positive - negative,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,harmful,plain,f025,turns,neutral - none,0.0,0.0,0.0,1.0,False,
llama31_8b_128k,harmful,plain,f050,pasted,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,harmful,plain,f050,pasted,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,harmful,plain,f050,pasted,positive - negative,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,harmful,plain,f050,pasted,neutral - none,0.0,0.0,0.0,1.0,False,
llama31_8b_128k,harmful,plain,f050,turns,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,harmful,plain,f050,turns,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,harmful,plain,f050,turns,positive - negative,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,harmful,plain,f050,turns,neutral - none,0.0,0.0,0.0,1.0,False,
llama31_8b_128k,harmful,plain,f100,pasted,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,harmful,plain,f100,pasted,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,harmful,plain,f100,pasted,positive - negative,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,harmful,plain,f100,pasted,neutral - none,0.0,0.0,0.0,1.0,False,
llama31_8b_128k,harmful,plain,f100,turns,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,harmful,plain,f100,turns,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,harmful,plain,f100,turns,positive - negative,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,harmful,plain,f100,turns,neutral - none,0.0,0.0,0.0,1.0,False,
llama31_8b_128k,recall,plain,f025,pasted,positive - neutral,-0.2,-0.6,0.0,1.0,True,1.0
llama31_8b_128k,recall,plain,f025,pasted,negative - neutral,0.0,-0.6,0.6,1.0,True,1.0
llama31_8b_128k,recall,plain,f025,pasted,positive - negative,-0.2,-0.8,0.4,1.0,True,1.0
llama31_8b_128k,recall,plain,f025,pasted,neutral - none,0.4,-0.4,1.0,0.6252374762523748,False,
llama31_8b_128k,recall,plain,f025,turns,positive - neutral,-0.4,-0.8,0.0,0.5008499150084992,True,1.0
llama31_8b_128k,recall,plain,f025,turns,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,recall,plain,f025,turns,positive - negative,-0.4,-0.8,0.0,0.4864513548645136,True,1.0
llama31_8b_128k,recall,plain,f025,turns,neutral - none,0.4,0.0,0.8,0.49235076492350766,False,
llama31_8b_128k,recall,plain,f050,pasted,positive - neutral,0.4,0.0,0.8,0.5086491350864913,True,1.0
llama31_8b_128k,recall,plain,f050,pasted,negative - neutral,0.4,0.0,0.8,0.5047495250474953,True,1.0
llama31_8b_128k,recall,plain,f050,pasted,positive - negative,0.0,0.0,0.0,1.0,True,1.0
