model,task,appeal,dose,render,contrast,diff,ci_low,ci_high,p,primary,p_holm
dolphin3_8b_128k,harmful,plain,f025,pasted,positive - neutral,0.0,-0.08,0.08,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,f025,pasted,negative - neutral,0.02,-0.06,0.1,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,f025,pasted,positive - negative,-0.02,-0.12,0.08,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,f025,pasted,neutral - none,-0.04,-0.14,0.06,0.6842315768423157,False,
dolphin3_8b_128k,harmful,plain,f025,turns,positive - neutral,-0.06,-0.18,0.06,0.521947805219478,True,1.0
dolphin3_8b_128k,harmful,plain,f025,turns,negative - neutral,-0.06,-0.2,0.06,0.5577442255774423,True,1.0
dolphin3_8b_128k,harmful,plain,f025,turns,positive - negative,0.0,-0.1,0.1,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,f025,turns,neutral - none,0.06,-0.06,0.18,0.5136486351364864,False,
dolphin3_8b_128k,harmful,plain,f050,pasted,positive - neutral,0.02,-0.1,0.14,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,f050,pasted,negative - neutral,0.0,-0.12,0.12,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,f050,pasted,positive - negative,0.02,-0.1,0.14,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,f050,pasted,neutral - none,-0.04,-0.16,0.08,0.7544245575442455,False,
dolphin3_8b_128k,harmful,plain,f050,turns,positive - neutral,0.0,-0.1,0.12,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,f050,turns,negative - neutral,0.04,-0.08,0.16,0.7531246875312468,True,1.0
dolphin3_8b_128k,harmful,plain,f050,turns,positive - negative,-0.04,-0.16,0.08,0.7521247875212479,True,1.0
dolphin3_8b_128k,harmful,plain,f050,turns,neutral - none,-0.02,-0.12,0.08,1.0,False,
dolphin3_8b_128k,harmful,plain,f100,pasted,positive - neutral,0.04,-0.1,0.18,0.785021497850215,True,1.0
dolphin3_8b_128k,harmful,plain,f100,pasted,negative - neutral,0.08,-0.06,0.22,0.38036196380361964,True,1.0
dolphin3_8b_128k,harmful,plain,f100,pasted,positive - negative,-0.04,-0.14,0.06,0.6892310768923108,True,1.0
dolphin3_8b_128k,harmful,plain,f100,pasted,neutral - none,-0.08,-0.24,0.08,0.461053894610539,False,
dolphin3_8b_128k,harmful,plain,f100,turns,positive - neutral,0.04,-0.14,0.22,0.82991700829917,True,1.0
dolphin3_8b_128k,harmful,plain,f100,turns,negative - neutral,0.08,-0.12,0.28,0.5313468653134686,True,1.0
dolphin3_8b_128k,harmful,plain,f100,turns,positive - negative,-0.04,-0.2,0.12,0.8141185881411859,True,1.0
dolphin3_8b_128k,harmful,plain,f100,turns,neutral - none,0.2,0.04,0.36,0.031996800319968,False,
dolphin3_8b_128k,recall,plain,f025,pasted,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f025,pasted,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f025,pasted,positive - negative,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f025,pasted,neutral - none,0.2,0.0,0.6,1.0,False,
dolphin3_8b_128k,recall,plain,f025,turns,positive - neutral,-0.2,-0.6,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f025,turns,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f025,turns,positive - negative,-0.2,-0.6,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f025,turns,neutral - none,0.2,0.0,0.6,1.0,False,
