model,task,appeal,dose,render,contrast,diff,ci_low,ci_high,p,primary,p_holm
dolphin3_8b_128k,harmful,plain,f050,turns,positive - neutral,0.02,-0.04,0.1,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,f050,turns,negative - neutral,-0.02,-0.06,0.0,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,f050,turns,positive - negative,0.04,-0.04,0.12,0.6254374562543745,True,1.0
dolphin3_8b_128k,harmful,plain,f050,turns,neutral - none,0.02,-0.04,0.1,1.0,False,
dolphin3_8b_128k,harmful,plain,f100,turns,positive - neutral,0.02,0.0,0.06,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,f100,turns,negative - neutral,0.06,0.0,0.14,0.24907509249075094,True,0.7472252774722528
dolphin3_8b_128k,harmful,plain,f100,turns,positive - negative,-0.04,-0.1,0.0,0.49155084491550843,True,0.9831016898310169
dolphin3_8b_128k,harmful,plain,f100,turns,neutral - none,-0.08,-0.16,-0.02,0.13058694130586943,False,
dolphin3_8b_128k,recall,plain,f050,turns,positive - neutral,-0.2,-0.6,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f050,turns,negative - neutral,-0.2,-0.6,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f050,turns,positive - negative,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f050,turns,neutral - none,0.0,0.0,0.0,1.0,False,
dolphin3_8b_128k,recall,plain,f100,turns,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f100,turns,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f100,turns,positive - negative,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f100,turns,neutral - none,-1.0,-1.0,-1.0,0.06519348065193481,False,
dolphin3_8b_128k,secret,plain,f050,turns,positive - neutral,0.1,-0.1,0.3,0.5053494650534947,True,1.0
dolphin3_8b_128k,secret,plain,f050,turns,negative - neutral,0.03333333333333333,-0.16666666666666666,0.23333333333333334,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f050,turns,positive - negative,0.06666666666666667,-0.13333333333333333,0.23333333333333334,0.7326267373262674,True,1.0
dolphin3_8b_128k,secret,plain,f050,turns,neutral - none,0.03333333333333333,-0.16666666666666666,0.26666666666666666,1.0,False,
dolphin3_8b_128k,secret,plain,f100,turns,positive - neutral,0.03333333333333333,0.0,0.1,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f100,turns,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f100,turns,positive - negative,0.03333333333333333,0.0,0.1,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f100,turns,neutral - none,-0.7,-0.8666666666666667,-0.5333333333333333,9.999000099990002e-05,False,
dolphin3_8b_128k,xstest_unsafe,plain,f050,turns,positive - neutral,0.0,-0.0625,0.0625,1.0,True,1.0
dolphin3_8b_128k,xstest_unsafe,plain,f050,turns,negative - neutral,0.0,-0.0625,0.0625,1.0,True,1.0
dolphin3_8b_128k,xstest_unsafe,plain,f050,turns,positive - negative,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,xstest_unsafe,plain,f050,turns,neutral - none,0.020833333333333332,0.0,0.0625,1.0,False,
dolphin3_8b_128k,xstest_unsafe,plain,f100,turns,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,xstest_unsafe,plain,f100,turns,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,xstest_unsafe,plain,f100,turns,positive - negative,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,xstest_unsafe,plain,f100,turns,neutral - none,0.0,0.0,0.0,1.0,False,
