model,task,appeal,dose,render,contrast,diff,ci_low,ci_high,p,primary,p_holm
dolphin3_8b_128k,harmful,plain,f050,turns,positive - neutral,0.04,-0.08,0.16,0.7264273572642735,True,1.0
dolphin3_8b_128k,harmful,plain,f050,turns,negative - neutral,0.04,-0.06,0.16,0.7265273472652735,True,1.0
dolphin3_8b_128k,harmful,plain,f050,turns,positive - negative,0.0,-0.1,0.1,1.0,True,1.0
dolphin3_8b_128k,harmful,plain,f050,turns,neutral - none,0.0,-0.12,0.12,1.0,False,
dolphin3_8b_128k,harmful,plain,f100,turns,positive - neutral,-0.06,-0.24,0.12,0.6654334566543346,True,0.6654334566543346
dolphin3_8b_128k,harmful,plain,f100,turns,negative - neutral,-0.16,-0.34,0.0,0.1116888311168883,True,0.3350664933506649
dolphin3_8b_128k,harmful,plain,f100,turns,positive - negative,0.1,-0.02,0.22,0.22657734226577342,True,0.45315468453154684
dolphin3_8b_128k,harmful,plain,f100,turns,neutral - none,0.2,0.02,0.38,0.0552944705529447,False,
dolphin3_8b_128k,recall,plain,f050,turns,positive - neutral,-0.2,-0.6,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f050,turns,negative - neutral,-0.2,-0.6,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f050,turns,positive - negative,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f050,turns,neutral - none,0.0,0.0,0.0,1.0,False,
dolphin3_8b_128k,recall,plain,f100,turns,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f100,turns,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f100,turns,positive - negative,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f100,turns,neutral - none,-1.0,-1.0,-1.0,0.0585941405859414,False,
dolphin3_8b_128k,secret,plain,f050,turns,positive - neutral,0.1,-0.1,0.3,0.5069493050694931,True,1.0
dolphin3_8b_128k,secret,plain,f050,turns,negative - neutral,0.03333333333333333,-0.16666666666666666,0.23333333333333334,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f050,turns,positive - negative,0.06666666666666667,-0.1,0.26666666666666666,0.7274272572742726,True,1.0
dolphin3_8b_128k,secret,plain,f050,turns,neutral - none,0.03333333333333333,-0.2,0.23333333333333334,1.0,False,
dolphin3_8b_128k,secret,plain,f100,turns,positive - neutral,0.03333333333333333,0.0,0.1,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f100,turns,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f100,turns,positive - negative,0.03333333333333333,0.0,0.1,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f100,turns,neutral - none,-0.7,-0.8666666666666667,-0.5333333333333333,9.999000099990002e-05,False,
dolphin3_8b_128k,xstest_unsafe,plain,f050,turns,positive - neutral,0.041666666666666664,-0.08333333333333333,0.16666666666666666,0.7562243775622438,True,1.0
dolphin3_8b_128k,xstest_unsafe,plain,f050,turns,negative - neutral,0.0625,-0.0625,0.1875,0.5112488751124887,True,1.0
dolphin3_8b_128k,xstest_unsafe,plain,f050,turns,positive - negative,-0.020833333333333332,-0.125,0.08333333333333333,1.0,True,1.0
dolphin3_8b_128k,xstest_unsafe,plain,f050,turns,neutral - none,0.0625,-0.041666666666666664,0.16666666666666666,0.44865513448655137,False,
dolphin3_8b_128k,xstest_unsafe,plain,f100,turns,positive - neutral,-0.375,-0.5208333333333334,-0.22916666666666666,9.999000099990002e-05,True,0.00029997000299970003
dolphin3_8b_128k,xstest_unsafe,plain,f100,turns,negative - neutral,-0.3958333333333333,-0.5625,-0.22916666666666666,0.00029997000299970003,True,0.0005999400059994001
dolphin3_8b_128k,xstest_unsafe,plain,f100,turns,positive - negative,0.020833333333333332,-0.125,0.16666666666666666,1.0,True,1.0
dolphin3_8b_128k,xstest_unsafe,plain,f100,turns,neutral - none,0.6041666666666666,0.4583333333333333,0.7291666666666666,9.999000099990002e-05,False,
