model,task,appeal,dose,contrast,diff,ci_low,ci_high,p,primary
llama31_8b_128k,harmful,cwd,f050,positive - neutral,0.0,0.0,0.0,1.0,False
llama31_8b_128k,harmful,cwd,f050,negative - neutral,0.0,0.0,0.0,1.0,False
llama31_8b_128k,harmful,cwd,f050,positive - negative,0.0,0.0,0.0,1.0,False
llama31_8b_128k,harmful,cwd,f050,neutral - none,0.0,0.0,0.0,1.0,False
llama31_8b_128k,harmful,cwd,f100,positive - neutral,0.0,0.0,0.0,1.0,False
llama31_8b_128k,harmful,cwd,f100,negative - neutral,0.0,0.0,0.0,1.0,False
llama31_8b_128k,harmful,cwd,f100,positive - negative,0.0,0.0,0.0,1.0,False
llama31_8b_128k,harmful,cwd,f100,neutral - none,0.0,0.0,0.0,1.0,False
llama31_8b_128k,recall,cwd,f050,positive - neutral,-0.2,-0.6,0.0,1.0,False
llama31_8b_128k,recall,cwd,f050,negative - neutral,0.2,0.0,0.6,1.0,False
llama31_8b_128k,recall,cwd,f050,positive - negative,-0.4,-0.8,0.0,0.4941505849415059,False
llama31_8b_128k,recall,cwd,f050,neutral - none,-0.4,-1.0,0.4,0.6242375762423757,False
llama31_8b_128k,recall,cwd,f100,positive - neutral,0.0,0.0,0.0,1.0,False
llama31_8b_128k,recall,cwd,f100,negative - neutral,0.0,0.0,0.0,1.0,False
llama31_8b_128k,recall,cwd,f100,positive - negative,0.0,0.0,0.0,1.0,False
llama31_8b_128k,recall,cwd,f100,neutral - none,-0.8,-1.0,-0.4,0.1267873212678732,False
llama31_8b_128k,secret,cwd,f050,positive - neutral,-0.03333333333333333,-0.13333333333333333,0.06666666666666667,1.0,False
llama31_8b_128k,secret,cwd,f050,negative - neutral,0.06666666666666667,-0.06666666666666667,0.2,0.6231376862313769,False
llama31_8b_128k,secret,cwd,f050,positive - negative,-0.1,-0.2,0.0,0.24697530246975302,False
llama31_8b_128k,secret,cwd,f050,neutral - none,-0.1,-0.26666666666666666,0.06666666666666667,0.45725427457254275,False
llama31_8b_128k,secret,cwd,f100,positive - neutral,-0.03333333333333333,-0.1,0.0,1.0,False
llama31_8b_128k,secret,cwd,f100,negative - neutral,0.0,-0.1,0.1,1.0,False
llama31_8b_128k,secret,cwd,f100,positive - negative,-0.03333333333333333,-0.1,0.0,1.0,False
llama31_8b_128k,secret,cwd,f100,neutral - none,-0.13333333333333333,-0.3,0.0,0.22107789221077892,False
llama31_8b_128k,xstest_unsafe,cwd,f050,positive - neutral,0.0,0.0,0.0,1.0,False
llama31_8b_128k,xstest_unsafe,cwd,f050,negative - neutral,0.0,0.0,0.0,1.0,False
llama31_8b_128k,xstest_unsafe,cwd,f050,positive - negative,0.0,0.0,0.0,1.0,False
llama31_8b_128k,xstest_unsafe,cwd,f050,neutral - none,0.0,0.0,0.0,1.0,False
llama31_8b_128k,xstest_unsafe,cwd,f100,positive - neutral,0.0,0.0,0.0,1.0,False
llama31_8b_128k,xstest_unsafe,cwd,f100,negative - neutral,0.0,0.0,0.0,1.0,False
llama31_8b_128k,xstest_unsafe,cwd,f100,positive - negative,0.0,0.0,0.0,1.0,False
llama31_8b_128k,xstest_unsafe,cwd,f100,neutral - none,0.0,0.0,0.0,1.0,False
