model,task,appeal,dose,contrast,diff,ci_low,ci_high,p,primary
llama31_8b_128k,harmful,cwd,f050,positive - neutral,0.0,0.0,0.0,1.0,False
llama31_8b_128k,harmful,cwd,f050,negative - neutral,0.0,0.0,0.0,1.0,False
llama31_8b_128k,harmful,cwd,f050,positive - negative,0.0,0.0,0.0,1.0,False
llama31_8b_128k,harmful,cwd,f050,neutral - none,-0.02,-0.06,0.0,1.0,False
llama31_8b_128k,harmful,cwd,f100,positive - neutral,-0.02,-0.06,0.0,1.0,False
llama31_8b_128k,harmful,cwd,f100,negative - neutral,-0.02,-0.06,0.0,1.0,False
llama31_8b_128k,harmful,cwd,f100,positive - negative,0.0,0.0,0.0,1.0,False
llama31_8b_128k,harmful,cwd,f100,neutral - none,0.0,0.0,0.0,1.0,False
llama31_8b_128k,recall,cwd,f050,positive - neutral,-0.2,-0.6,0.0,1.0,False
llama31_8b_128k,recall,cwd,f050,negative - neutral,0.2,0.0,0.6,1.0,False
llama31_8b_128k,recall,cwd,f050,positive - negative,-0.4,-0.8,0.0,0.49355064493550643,False
llama31_8b_128k,recall,cwd,f050,neutral - none,-0.4,-1.0,0.4,0.6195380461953804,False
llama31_8b_128k,recall,cwd,f100,positive - neutral,0.0,0.0,0.0,1.0,False
llama31_8b_128k,recall,cwd,f100,negative - neutral,0.0,0.0,0.0,1.0,False
llama31_8b_128k,recall,cwd,f100,positive - negative,0.0,0.0,0.0,1.0,False
llama31_8b_128k,recall,cwd,f100,neutral - none,-0.8,-1.0,-0.4,0.12378762123787622,False
llama31_8b_128k,secret,cwd,f050,positive - neutral,-0.03333333333333333,-0.13333333333333333,0.06666666666666667,1.0,False
llama31_8b_128k,secret,cwd,f050,negative - neutral,0.06666666666666667,-0.06666666666666667,0.2,0.6287371262873712,False
llama31_8b_128k,secret,cwd,f050,positive - negative,-0.1,-0.23333333333333334,0.0,0.2542745725427457,False
llama31_8b_128k,secret,cwd,f050,neutral - none,-0.1,-0.26666666666666666,0.06666666666666667,0.4480551944805519,False
llama31_8b_128k,secret,cwd,f100,positive - neutral,-0.03333333333333333,-0.1,0.0,1.0,False
llama31_8b_128k,secret,cwd,f100,negative - neutral,0.0,-0.1,0.1,1.0,False
llama31_8b_128k,secret,cwd,f100,positive - negative,-0.03333333333333333,-0.1,0.0,1.0,False
llama31_8b_128k,secret,cwd,f100,neutral - none,-0.13333333333333333,-0.3,0.0,0.21957804219578042,False
llama31_8b_128k,xstest_unsafe,cwd,f050,positive - neutral,0.0,0.0,0.0,1.0,False
llama31_8b_128k,xstest_unsafe,cwd,f050,negative - neutral,0.0,0.0,0.0,1.0,False
llama31_8b_128k,xstest_unsafe,cwd,f050,positive - negative,0.0,0.0,0.0,1.0,False
llama31_8b_128k,xstest_unsafe,cwd,f050,neutral - none,0.0,0.0,0.0,1.0,False
llama31_8b_128k,xstest_unsafe,cwd,f100,positive - neutral,-0.020833333333333332,-0.0625,0.0,1.0,False
llama31_8b_128k,xstest_unsafe,cwd,f100,negative - neutral,-0.020833333333333332,-0.0625,0.0,1.0,False
llama31_8b_128k,xstest_unsafe,cwd,f100,positive - negative,0.0,0.0,0.0,1.0,False
llama31_8b_128k,xstest_unsafe,cwd,f100,neutral - none,0.020833333333333332,0.0,0.0625,1.0,False
