task,condition,exchanges,n,reply_tokens,warm_rate,apology_rate
harmful,negative,0-4,5,144.8,0.4,0.2
harmful,negative,5-49,45,135.48888888888888,0.044444444444444446,0.0
harmful,negative,50-149,100,137.4,0.05,0.0
harmful,negative,150-299,150,126.68,0.08,0.0
harmful,negative,300-599,300,129.7,0.043333333333333335,0.0
harmful,negative,600+,159,166.9308176100629,0.1069182389937107,0.0
harmful,neutral,0-4,5,134.0,0.2,0.0
harmful,neutral,5-49,45,123.75555555555556,0.08888888888888889,0.0
harmful,neutral,50-149,100,123.53,0.03,0.0
harmful,neutral,150-299,150,146.08,0.06,0.0
harmful,neutral,300-599,300,166.96666666666667,0.16,0.0
harmful,neutral,600+,127,170.90551181102362,0.25196850393700787,0.0
harmful,positive,0-4,5,181.6,1.0,0.0
harmful,positive,5-49,45,143.0,1.0,0.0
harmful,positive,50-149,100,165.17,1.0,0.0
harmful,positive,150-299,150,164.76666666666668,1.0,0.0
harmful,positive,300-599,300,191.17333333333335,1.0,0.0
harmful,positive,600+,11,192.0909090909091,1.0,0.0
secret,negative,0-4,5,158.0,0.2,0.2
secret,negative,5-49,45,130.42222222222222,0.08888888888888889,0.0
secret,negative,50-149,100,155.48,0.08,0.0
secret,negative,150-299,150,176.90666666666667,0.08,0.0
secret,negative,300-599,300,196.29,0.05,0.0
secret,negative,600+,10,200.0,0.1,0.0
secret,neutral,0-4,5,133.6,0.4,0.0
secret,neutral,5-49,45,111.62222222222222,0.06666666666666667,0.0
secret,neutral,50-149,100,100.31,0.06,0.0
secret,neutral,150-299,150,97.46,0.05333333333333334,0.0
secret,neutral,300-599,300,101.93,0.05333333333333334,0.0
secret,neutral,600+,462,94.33982683982684,0.05844155844155844,0.0
secret,positive,0-4,5,173.0,1.0,0.0
secret,positive,5-49,45,130.04444444444445,1.0,0.0
secret,positive,50-149,100,160.83,1.0,0.0
secret,positive,150-299,150,184.86666666666667,1.0,0.0
secret,positive,300-599,300,192.59,1.0,0.0
