model,task,appeal,dose,contrast,diff,ci_low,ci_high,p,primary,p_holm
llama31_8b_128k,recall,plain,f001,positive - neutral,-0.2,-0.6,0.0,1.0,True,1.0
llama31_8b_128k,recall,plain,f001,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,recall,plain,f001,positive - negative,-0.2,-0.6,0.0,1.0,True,1.0
llama31_8b_128k,recall,plain,f001,neutral - none,0.6,0.2,1.0,0.2512748725127487,False,
llama31_8b_128k,recall,plain,f005,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,recall,plain,f005,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,recall,plain,f005,positive - negative,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,recall,plain,f005,neutral - none,0.4,0.0,0.8,0.4931506849315068,False,
llama31_8b_128k,recall,plain,f025,positive - neutral,-0.2,-0.6,0.0,1.0,True,1.0
llama31_8b_128k,recall,plain,f025,negative - neutral,-0.2,-0.6,0.0,1.0,True,1.0
llama31_8b_128k,recall,plain,f025,positive - negative,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,recall,plain,f025,neutral - none,0.6,0.2,1.0,0.25237476252374763,False,
llama31_8b_128k,recall,plain,f100,positive - neutral,-0.2,-0.6,0.0,1.0,True,1.0
llama31_8b_128k,recall,plain,f100,negative - neutral,-0.4,-0.8,0.0,0.49355064493550643,True,1.0
llama31_8b_128k,recall,plain,f100,positive - negative,0.2,0.0,0.6,1.0,True,1.0
llama31_8b_128k,recall,plain,f100,neutral - none,0.0,-0.8,0.8,1.0,False,
llama31_8b_128k,secret,plain,f001,positive - neutral,-0.06666666666666667,-0.2,0.06666666666666667,0.6258374162583742,True,0.7527247275272473
llama31_8b_128k,secret,plain,f001,negative - neutral,0.1,-0.03333333333333333,0.23333333333333334,0.37636236376362364,True,0.7527247275272473
llama31_8b_128k,secret,plain,f001,positive - negative,-0.16666666666666666,-0.3333333333333333,0.0,0.11818818118188182,True,0.3545645435456455
llama31_8b_128k,secret,plain,f001,neutral - none,-0.1,-0.23333333333333334,0.03333333333333333,0.36906309369063095,False,
llama31_8b_128k,secret,plain,f005,positive - neutral,-0.13333333333333333,-0.26666666666666666,-0.03333333333333333,0.1262873712628737,True,0.3788621137886211
llama31_8b_128k,secret,plain,f005,negative - neutral,-0.1,-0.23333333333333334,0.0,0.2556744325567443,True,0.5113488651134886
llama31_8b_128k,secret,plain,f005,positive - negative,-0.03333333333333333,-0.13333333333333333,0.06666666666666667,1.0,True,1.0
llama31_8b_128k,secret,plain,f005,neutral - none,0.03333333333333333,-0.16666666666666666,0.23333333333333334,1.0,False,
llama31_8b_128k,secret,plain,f025,positive - neutral,-0.1,-0.26666666666666666,0.06666666666666667,0.4527547245275472,True,0.9055094490550945
llama31_8b_128k,secret,plain,f025,negative - neutral,-0.16666666666666666,-0.3,-0.03333333333333333,0.06319368063193681,True,0.18958104189581043
llama31_8b_128k,secret,plain,f025,positive - negative,0.06666666666666667,-0.06666666666666667,0.2,0.6280371962803719,True,0.9055094490550945
llama31_8b_128k,secret,plain,f025,neutral - none,0.03333333333333333,-0.13333333333333333,0.2,1.0,False,
llama31_8b_128k,secret,plain,f100,positive - neutral,-0.2,-0.36666666666666664,-0.03333333333333333,0.07189281071892811,True,0.20127987201279873
llama31_8b_128k,secret,plain,f100,negative - neutral,-0.2,-0.36666666666666664,-0.03333333333333333,0.0670932906709329,True,0.20127987201279873
llama31_8b_128k,secret,plain,f100,positive - negative,0.0,-0.1,0.1,1.0,True,1.0
llama31_8b_128k,secret,plain,f100,neutral - none,-0.03333333333333333,-0.23333333333333334,0.16666666666666666,1.0,False,
