model,task,appeal,dose,contrast,diff,ci_low,ci_high,p,primary,p_holm
llama31_8b_128k,recall,plain,f001,positive - neutral,-0.2,-0.6,0.0,1.0,True,1.0
llama31_8b_128k,recall,plain,f001,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,recall,plain,f001,positive - negative,-0.2,-0.6,0.0,1.0,True,1.0
llama31_8b_128k,recall,plain,f001,neutral - none,0.6,0.2,1.0,0.24787521247875213,False,
llama31_8b_128k,recall,plain,f005,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,recall,plain,f005,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,recall,plain,f005,positive - negative,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,recall,plain,f005,neutral - none,0.4,0.0,0.8,0.49625037496250374,False,
llama31_8b_128k,recall,plain,f025,positive - neutral,-0.2,-0.6,0.0,1.0,True,1.0
llama31_8b_128k,recall,plain,f025,negative - neutral,-0.2,-0.6,0.0,1.0,True,1.0
llama31_8b_128k,recall,plain,f025,positive - negative,0.0,0.0,0.0,1.0,True,1.0
llama31_8b_128k,recall,plain,f025,neutral - none,0.6,0.2,1.0,0.2522747725227477,False,
llama31_8b_128k,recall,plain,f100,positive - neutral,-0.2,-0.6,0.0,1.0,True,1.0
llama31_8b_128k,recall,plain,f100,negative - neutral,-0.4,-0.8,0.0,0.5045495450454954,True,1.0
llama31_8b_128k,recall,plain,f100,positive - negative,0.2,0.0,0.6,1.0,True,1.0
llama31_8b_128k,recall,plain,f100,neutral - none,0.0,-0.8,0.8,1.0,False,
llama31_8b_128k,secret,plain,f001,positive - neutral,-0.06666666666666667,-0.2,0.06666666666666667,0.6253374662533746,True,0.7629237076292371
llama31_8b_128k,secret,plain,f001,negative - neutral,0.1,-0.03333333333333333,0.23333333333333334,0.38146185381461856,True,0.7629237076292371
llama31_8b_128k,secret,plain,f001,positive - negative,-0.16666666666666666,-0.3333333333333333,0.0,0.1227877212278772,True,0.36836316368363164
llama31_8b_128k,secret,plain,f001,neutral - none,-0.1,-0.23333333333333334,0.03333333333333333,0.37666233376662334,False,
llama31_8b_128k,secret,plain,f005,positive - neutral,-0.13333333333333333,-0.26666666666666666,-0.03333333333333333,0.11898810118988101,True,0.35696430356964304
llama31_8b_128k,secret,plain,f005,negative - neutral,-0.1,-0.23333333333333334,0.0,0.252974702529747,True,0.505949405059494
llama31_8b_128k,secret,plain,f005,positive - negative,-0.03333333333333333,-0.13333333333333333,0.06666666666666667,1.0,True,1.0
llama31_8b_128k,secret,plain,f005,neutral - none,0.03333333333333333,-0.16666666666666666,0.23333333333333334,1.0,False,
llama31_8b_128k,secret,plain,f025,positive - neutral,-0.1,-0.26666666666666666,0.06666666666666667,0.45355464453554645,True,0.9071092890710929
llama31_8b_128k,secret,plain,f025,negative - neutral,-0.16666666666666666,-0.3,-0.03333333333333333,0.062993700629937,True,0.18898110188981102
llama31_8b_128k,secret,plain,f025,positive - negative,0.06666666666666667,-0.06666666666666667,0.2,0.6316368363163684,True,0.9071092890710929
llama31_8b_128k,secret,plain,f025,neutral - none,0.03333333333333333,-0.13333333333333333,0.2,1.0,False,
llama31_8b_128k,secret,plain,f100,positive - neutral,-0.2,-0.36666666666666664,-0.03333333333333333,0.07069293070692931,True,0.21087891210878912
llama31_8b_128k,secret,plain,f100,negative - neutral,-0.2,-0.36666666666666664,-0.03333333333333333,0.07029297070292971,True,0.21087891210878912
llama31_8b_128k,secret,plain,f100,positive - negative,0.0,-0.1,0.1,1.0,True,1.0
llama31_8b_128k,secret,plain,f100,neutral - none,-0.03333333333333333,-0.23333333333333334,0.16666666666666666,1.0,False,
