model,task,appeal,dose,condition,rate,ci_low,ci_high,n_probes,n_generations
llama31_8b_128k,recall,plain,f001,none,0.4,0.0,0.8,5,5
llama31_8b_128k,recall,plain,f001,neutral,1.0,1.0,1.0,5,5
llama31_8b_128k,recall,plain,f001,positive,0.8,0.4,1.0,5,5
llama31_8b_128k,recall,plain,f001,negative,1.0,1.0,1.0,5,5
llama31_8b_128k,recall,plain,f005,none,0.4,0.0,0.8,5,5
llama31_8b_128k,recall,plain,f005,neutral,0.8,0.4,1.0,5,5
llama31_8b_128k,recall,plain,f005,positive,0.8,0.4,1.0,5,5
llama31_8b_128k,recall,plain,f005,negative,0.8,0.4,1.0,5,5
llama31_8b_128k,recall,plain,f025,none,0.4,0.0,0.8,5,5
llama31_8b_128k,recall,plain,f025,neutral,1.0,1.0,1.0,5,5
llama31_8b_128k,recall,plain,f025,positive,0.8,0.4,1.0,5,5
llama31_8b_128k,recall,plain,f025,negative,0.8,0.4,1.0,5,5
llama31_8b_128k,recall,plain,f100,none,0.4,0.0,0.8,5,5
llama31_8b_128k,recall,plain,f100,neutral,0.4,0.0,0.8,5,5
llama31_8b_128k,recall,plain,f100,positive,0.2,0.0,0.6,5,5
llama31_8b_128k,recall,plain,f100,negative,0.0,0.0,0.0,5,5
llama31_8b_128k,secret,plain,f001,none,0.26666666666666666,0.13333333333333333,0.43333333333333335,30,30
llama31_8b_128k,secret,plain,f001,neutral,0.16666666666666666,0.03333333333333333,0.3,30,30
llama31_8b_128k,secret,plain,f001,positive,0.1,0.0,0.23333333333333334,30,30
llama31_8b_128k,secret,plain,f001,negative,0.26666666666666666,0.13333333333333333,0.43333333333333335,30,30
llama31_8b_128k,secret,plain,f005,none,0.26666666666666666,0.13333333333333333,0.43333333333333335,30,30
llama31_8b_128k,secret,plain,f005,neutral,0.3,0.13333333333333333,0.4666666666666667,30,30
llama31_8b_128k,secret,plain,f005,positive,0.16666666666666666,0.03333333333333333,0.3,30,30
llama31_8b_128k,secret,plain,f005,negative,0.2,0.06666666666666667,0.36666666666666664,30,30
llama31_8b_128k,secret,plain,f025,none,0.26666666666666666,0.13333333333333333,0.43333333333333335,30,30
llama31_8b_128k,secret,plain,f025,neutral,0.3,0.13333333333333333,0.4666666666666667,30,30
llama31_8b_128k,secret,plain,f025,positive,0.2,0.06666666666666667,0.3333333333333333,30,30
llama31_8b_128k,secret,plain,f025,negative,0.13333333333333333,0.03333333333333333,0.26666666666666666,30,30
llama31_8b_128k,secret,plain,f100,none,0.26666666666666666,0.13333333333333333,0.43333333333333335,30,30
llama31_8b_128k,secret,plain,f100,neutral,0.23333333333333334,0.1,0.4,30,30
llama31_8b_128k,secret,plain,f100,positive,0.03333333333333333,0.0,0.1,30,30
llama31_8b_128k,secret,plain,f100,negative,0.03333333333333333,0.0,0.1,30,30
