model,task,appeal,dose,contrast,diff,ci_low,ci_high,p,primary,p_holm
dolphin3_8b_128k,recall,plain,f001,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f001,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f001,positive - negative,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f001,neutral - none,0.2,0.0,0.6,1.0,False,
dolphin3_8b_128k,recall,plain,f005,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f005,negative - neutral,-0.2,-0.6,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f005,positive - negative,0.2,0.0,0.6,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f005,neutral - none,0.2,0.0,0.6,1.0,False,
dolphin3_8b_128k,recall,plain,f025,positive - neutral,-0.2,-0.6,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f025,negative - neutral,-0.2,-0.6,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f025,positive - negative,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f025,neutral - none,0.2,0.0,0.6,1.0,False,
dolphin3_8b_128k,recall,plain,f100,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f100,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f100,positive - negative,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f100,neutral - none,-0.8,-1.0,-0.4,0.1274872512748725,False,
dolphin3_8b_128k,secret,plain,f001,positive - neutral,-0.16666666666666666,-0.36666666666666664,0.03333333333333333,0.22857714228577142,True,0.6857314268573143
dolphin3_8b_128k,secret,plain,f001,negative - neutral,-0.06666666666666667,-0.23333333333333334,0.1,0.6987301269873013,True,1.0
dolphin3_8b_128k,secret,plain,f001,positive - negative,-0.1,-0.3333333333333333,0.13333333333333333,0.583041695830417,True,1.0
dolphin3_8b_128k,secret,plain,f001,neutral - none,-0.1,-0.26666666666666666,0.06666666666666667,0.4570542945705429,False,
dolphin3_8b_128k,secret,plain,f005,positive - neutral,-0.23333333333333334,-0.4,-0.06666666666666667,0.0387961203879612,True,0.1163883611638836
dolphin3_8b_128k,secret,plain,f005,negative - neutral,-0.1,-0.3,0.1,0.5138486151384861,True,0.5138486151384861
dolphin3_8b_128k,secret,plain,f005,positive - negative,-0.13333333333333333,-0.3,0.0,0.22147785221477853,True,0.44295570442955706
dolphin3_8b_128k,secret,plain,f005,neutral - none,-0.1,-0.26666666666666666,0.06666666666666667,0.45395460453954606,False,
dolphin3_8b_128k,secret,plain,f025,positive - neutral,-0.13333333333333333,-0.3333333333333333,0.06666666666666667,0.33686631336866313,True,0.6737326267373263
dolphin3_8b_128k,secret,plain,f025,negative - neutral,0.0,-0.16666666666666666,0.16666666666666666,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f025,positive - negative,-0.13333333333333333,-0.3,0.0,0.21697830216978303,True,0.650934906509349
dolphin3_8b_128k,secret,plain,f025,neutral - none,-0.1,-0.3,0.1,0.507949205079492,False,
dolphin3_8b_128k,secret,plain,f100,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f100,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f100,positive - negative,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f100,neutral - none,-0.8,-0.9333333333333333,-0.6333333333333333,9.999000099990002e-05,False,
