model,task,appeal,dose,contrast,diff,ci_low,ci_high,p,primary,p_holm
dolphin3_8b_128k,recall,plain,f001,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f001,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f001,positive - negative,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f001,neutral - none,0.2,0.0,0.6,1.0,False,
dolphin3_8b_128k,recall,plain,f005,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f005,negative - neutral,-0.2,-0.6,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f005,positive - negative,0.2,0.0,0.6,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f005,neutral - none,0.2,0.0,0.6,1.0,False,
dolphin3_8b_128k,recall,plain,f025,positive - neutral,-0.2,-0.6,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f025,negative - neutral,-0.2,-0.6,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f025,positive - negative,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f025,neutral - none,0.2,0.0,0.6,1.0,False,
dolphin3_8b_128k,recall,plain,f100,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f100,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f100,positive - negative,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,recall,plain,f100,neutral - none,-0.8,-1.0,-0.4,0.12348765123487651,False,
dolphin3_8b_128k,secret,plain,f001,positive - neutral,-0.16666666666666666,-0.36666666666666664,0.03333333333333333,0.22197780221977803,True,0.6659334066593341
dolphin3_8b_128k,secret,plain,f001,negative - neutral,-0.06666666666666667,-0.23333333333333334,0.1,0.6788321167883211,True,1.0
dolphin3_8b_128k,secret,plain,f001,positive - negative,-0.1,-0.3333333333333333,0.13333333333333333,0.5769423057694231,True,1.0
dolphin3_8b_128k,secret,plain,f001,neutral - none,-0.1,-0.26666666666666666,0.06666666666666667,0.44745525447455253,False,
dolphin3_8b_128k,secret,plain,f005,positive - neutral,-0.23333333333333334,-0.4,-0.06666666666666667,0.037696230376962306,True,0.11308869113088692
dolphin3_8b_128k,secret,plain,f005,negative - neutral,-0.1,-0.3,0.1,0.5092490750924907,True,0.5092490750924907
dolphin3_8b_128k,secret,plain,f005,positive - negative,-0.13333333333333333,-0.3,0.0,0.22747725227477253,True,0.45495450454954506
dolphin3_8b_128k,secret,plain,f005,neutral - none,-0.1,-0.26666666666666666,0.06666666666666667,0.45235476452354767,False,
dolphin3_8b_128k,secret,plain,f025,positive - neutral,-0.13333333333333333,-0.3333333333333333,0.06666666666666667,0.35066493350664935,True,0.7013298670132987
dolphin3_8b_128k,secret,plain,f025,negative - neutral,0.0,-0.16666666666666666,0.16666666666666666,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f025,positive - negative,-0.13333333333333333,-0.3,0.0,0.21747825217478253,True,0.6524347565243476
dolphin3_8b_128k,secret,plain,f025,neutral - none,-0.1,-0.3,0.1,0.5154484551544846,False,
dolphin3_8b_128k,secret,plain,f100,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f100,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f100,positive - negative,0.0,0.0,0.0,1.0,True,1.0
dolphin3_8b_128k,secret,plain,f100,neutral - none,-0.8,-0.9333333333333333,-0.6333333333333333,9.999000099990002e-05,False,
