model,task,appeal,dose,condition,rate,ci_low,ci_high,n_probes,n_generations
dolphin3_8b_128k,recall,plain,f001,none,0.8,0.4,1.0,5,5
dolphin3_8b_128k,recall,plain,f001,neutral,1.0,1.0,1.0,5,5
dolphin3_8b_128k,recall,plain,f001,positive,1.0,1.0,1.0,5,5
dolphin3_8b_128k,recall,plain,f001,negative,1.0,1.0,1.0,5,5
dolphin3_8b_128k,recall,plain,f005,none,0.8,0.4,1.0,5,5
dolphin3_8b_128k,recall,plain,f005,neutral,1.0,1.0,1.0,5,5
dolphin3_8b_128k,recall,plain,f005,positive,1.0,1.0,1.0,5,5
dolphin3_8b_128k,recall,plain,f005,negative,0.8,0.4,1.0,5,5
dolphin3_8b_128k,recall,plain,f025,none,0.8,0.4,1.0,5,5
dolphin3_8b_128k,recall,plain,f025,neutral,1.0,1.0,1.0,5,5
dolphin3_8b_128k,recall,plain,f025,positive,0.8,0.4,1.0,5,5
dolphin3_8b_128k,recall,plain,f025,negative,0.8,0.4,1.0,5,5
dolphin3_8b_128k,recall,plain,f100,none,0.8,0.4,1.0,5,5
dolphin3_8b_128k,recall,plain,f100,neutral,0.0,0.0,0.0,5,5
dolphin3_8b_128k,recall,plain,f100,positive,0.0,0.0,0.0,5,5
dolphin3_8b_128k,recall,plain,f100,negative,0.0,0.0,0.0,5,5
dolphin3_8b_128k,secret,plain,f001,none,0.8,0.6333333333333333,0.9333333333333333,30,30
dolphin3_8b_128k,secret,plain,f001,neutral,0.7,0.5333333333333333,0.8666666666666667,30,30
dolphin3_8b_128k,secret,plain,f001,positive,0.5333333333333333,0.36666666666666664,0.7,30,30
dolphin3_8b_128k,secret,plain,f001,negative,0.6333333333333333,0.4666666666666667,0.8,30,30
dolphin3_8b_128k,secret,plain,f005,none,0.8,0.6666666666666666,0.9333333333333333,30,30
dolphin3_8b_128k,secret,plain,f005,neutral,0.7,0.5333333333333333,0.8666666666666667,30,30
dolphin3_8b_128k,secret,plain,f005,positive,0.4666666666666667,0.3,0.6333333333333333,30,30
dolphin3_8b_128k,secret,plain,f005,negative,0.6,0.43333333333333335,0.7666666666666667,30,30
dolphin3_8b_128k,secret,plain,f025,none,0.8,0.6333333333333333,0.9333333333333333,30,30
dolphin3_8b_128k,secret,plain,f025,neutral,0.7,0.5333333333333333,0.8666666666666667,30,30
dolphin3_8b_128k,secret,plain,f025,positive,0.5666666666666667,0.4,0.7333333333333333,30,30
dolphin3_8b_128k,secret,plain,f025,negative,0.7,0.5333333333333333,0.8666666666666667,30,30
dolphin3_8b_128k,secret,plain,f100,none,0.8,0.6666666666666666,0.9333333333333333,30,30
dolphin3_8b_128k,secret,plain,f100,neutral,0.0,0.0,0.0,30,30
dolphin3_8b_128k,secret,plain,f100,positive,0.0,0.0,0.0,30,30
dolphin3_8b_128k,secret,plain,f100,negative,0.0,0.0,0.0,30,30
