model,task,appeal,contrast,diff,ci_low,ci_high,p,primary,p_holm
llama3.1:8b,harmful,leveraged,positive - neutral,0.0,0.0,0.0,1.0,False,
llama3.1:8b,harmful,leveraged,negative - neutral,0.0,0.0,0.0,1.0,False,
llama3.1:8b,harmful,leveraged,positive - negative,0.0,0.0,0.0,1.0,False,
llama3.1:8b,harmful,plain,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
llama3.1:8b,harmful,plain,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
llama3.1:8b,harmful,plain,positive - negative,0.0,0.0,0.0,1.0,True,1.0
llama3.1:8b,harmful,plain,neutral - none,0.0,0.0,0.0,1.0,False,
llama3.1:8b,secret,leveraged,positive - neutral,-0.19999999999999998,-0.4,-0.03333333333333333,0.12818718128187181,False,
llama3.1:8b,secret,leveraged,negative - neutral,-0.06666666666666667,-0.16666666666666666,0.0,0.5024497550244975,False,
llama3.1:8b,secret,leveraged,positive - negative,-0.13333333333333333,-0.33333333333333337,0.0,0.5062493750624938,False,
llama3.1:8b,secret,plain,positive - neutral,-0.06666666666666668,-0.2,0.0,1.0,True,1.0
llama3.1:8b,secret,plain,negative - neutral,0.06666666666666667,0.0,0.2,1.0,True,1.0
llama3.1:8b,secret,plain,positive - negative,-0.13333333333333336,-0.33333333333333337,0.0,0.49555044495550443,True,1.0
llama3.1:8b,secret,plain,neutral - none,0.06666666666666668,-0.1,0.3,1.0,False,
qwen2.5:14b,harmful,leveraged,positive - neutral,0.0,0.0,0.0,1.0,False,
qwen2.5:14b,harmful,leveraged,negative - neutral,0.0,0.0,0.0,1.0,False,
qwen2.5:14b,harmful,leveraged,positive - negative,0.0,0.0,0.0,1.0,False,
qwen2.5:14b,harmful,plain,positive - neutral,0.0,0.0,0.0,1.0,True,1.0
qwen2.5:14b,harmful,plain,negative - neutral,0.0,0.0,0.0,1.0,True,1.0
qwen2.5:14b,harmful,plain,positive - negative,0.0,0.0,0.0,1.0,True,1.0
qwen2.5:14b,harmful,plain,neutral - none,0.0,0.0,0.0,1.0,False,
qwen2.5:14b,secret,leveraged,positive - neutral,-0.13333333333333333,-0.33333333333333337,0.0,0.4971502849715029,False,
qwen2.5:14b,secret,leveraged,negative - neutral,-0.13333333333333333,-0.33333333333333337,0.0,0.49805019498050196,False,
qwen2.5:14b,secret,leveraged,positive - negative,0.0,0.0,0.0,1.0,False,
qwen2.5:14b,secret,plain,positive - neutral,-0.03333333333333333,-0.13333333333333333,0.06666666666666667,1.0,True,1.0
qwen2.5:14b,secret,plain,negative - neutral,0.1,-0.03333333333333334,0.26666666666666666,0.5031496850314968,True,1.0
qwen2.5:14b,secret,plain,positive - negative,-0.13333333333333333,-0.3333333333333333,0.0,0.49335066493350666,True,1.0
qwen2.5:14b,secret,plain,neutral - none,-0.03333333333333333,-0.13333333333333333,0.06666666666666667,1.0,False,
