model,task,appeal,contrast,diff,ci_low,ci_high,p,primary,p_holm
llama3.1:8b,harmful,leveraged,positive - neutral,-0.01,-0.02333333333333333,0.0,0.2538746125387461,False,
llama3.1:8b,harmful,leveraged,negative - neutral,-0.003333333333333333,-0.02,0.016666666666666666,1.0,False,
llama3.1:8b,harmful,leveraged,positive - negative,-0.006666666666666666,-0.02,0.0,1.0,False,
llama3.1:8b,harmful,plain,positive - neutral,-0.003333333333333333,-0.01,0.0,1.0,True,1.0
llama3.1:8b,harmful,plain,negative - neutral,-0.003333333333333333,-0.01,0.0,1.0,True,1.0
llama3.1:8b,harmful,plain,positive - negative,0.0,0.0,0.0,1.0,True,1.0
llama3.1:8b,harmful,plain,neutral - none,-0.016666666666666666,-0.04333333333333334,0.0,0.5032496750324967,False,
llama3.1:8b,secret,leveraged,positive - neutral,-0.19999999999999998,-0.4,-0.03333333333333333,0.1227877212278772,False,
llama3.1:8b,secret,leveraged,negative - neutral,-0.06666666666666667,-0.16666666666666666,0.0,0.5017498250174982,False,
llama3.1:8b,secret,leveraged,positive - negative,-0.13333333333333333,-0.33416666666666595,0.0,0.5005499450054994,False,
llama3.1:8b,secret,plain,positive - neutral,-0.06666666666666668,-0.2,0.0,1.0,True,1.0
llama3.1:8b,secret,plain,negative - neutral,0.06666666666666667,0.0,0.2,1.0,True,1.0
llama3.1:8b,secret,plain,positive - negative,-0.13333333333333336,-0.3333333333333333,0.0,0.5031496850314968,True,1.0
llama3.1:8b,secret,plain,neutral - none,0.06666666666666668,-0.1,0.3,1.0,False,
qwen2.5:14b,harmful,leveraged,positive - neutral,-0.02,-0.05333333333333334,0.006666666666666667,0.34326567343265674,False,
qwen2.5:14b,harmful,leveraged,negative - neutral,0.01333333333333333,-0.01666666666666667,0.04666666666666666,0.5501449855014499,False,
qwen2.5:14b,harmful,leveraged,positive - negative,-0.03333333333333333,-0.07,-0.0033333333333333322,0.09099090090990901,False,
qwen2.5:14b,harmful,plain,positive - neutral,0.02333333333333333,0.0,0.05333333333333334,0.1882811718828117,True,0.3765623437656234
qwen2.5:14b,harmful,plain,negative - neutral,0.02,0.0033333333333333335,0.04,0.0628937106289371,True,0.1886811318868113
qwen2.5:14b,harmful,plain,positive - negative,0.0033333333333333327,-0.02,0.026666666666666665,1.0,True,1.0
qwen2.5:14b,harmful,plain,neutral - none,-0.03333333333333333,-0.06333333333333334,-0.01,0.015998400159984,False,
qwen2.5:14b,secret,leveraged,positive - neutral,-0.13333333333333333,-0.33333333333333337,0.0,0.5149485051494851,False,
qwen2.5:14b,secret,leveraged,negative - neutral,-0.13333333333333333,-0.3666666666666666,0.0,0.4978502149785021,False,
qwen2.5:14b,secret,leveraged,positive - negative,0.0,0.0,0.0,1.0,False,
qwen2.5:14b,secret,plain,positive - neutral,-0.03333333333333333,-0.13333333333333333,0.06666666666666667,1.0,True,1.0
qwen2.5:14b,secret,plain,negative - neutral,0.1,-0.06666666666666667,0.26666666666666666,0.5034496550344966,True,1.0
qwen2.5:14b,secret,plain,positive - negative,-0.13333333333333333,-0.3333333333333333,0.0,0.49835016498350165,True,1.0
qwen2.5:14b,secret,plain,neutral - none,-0.03333333333333333,-0.13333333333333333,0.06666666666666667,1.0,False,
